Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,1.3202,16.2049,17.0000,17.0000,"18.079,14.701,0.206;8.797,8.234,1.358;19.157,11.189,1.320;11.041,9.798,0.375;18.941,2.103,0.237;18.894,9.851,0.491;18.175,14.247,0.269;2.005,2.762,1.767;8.619,14.844,0.312;1.921,9.625,0.434;6.600,0.346,0.407;4.276,13.031,0.424;5.694,2.362,0.309;16.612,12.207,1.574;13.725,13.157,0.478;16.794,0.426,0.294;7.410,3.214,1.381;3.847,1.134,0.766;14.145,16.944,0.627;1.250,19.625,0.358;12.089,14.342,0.401;3.015,1.738,1.378;17.939,8.495,0.459;14.418,13.948,0.852;12.391,19.075,0.202;15.916,1.890,0.642;11.075,14.920,0.603;4.052,2.483,0.399;2.332,5.537,0.813;13.398,18.053,0.764;10.480,9.022,0.453;1.443,8.842,1.342;0.536,9.612,0.340;13.770,16.445,0.225;1.280,0.427,0.471;8.483,2.322,1.166;16.193,2.805,0.285;6.653,15.765,0.353;2.916,12.308,0.252;0.995,12.662,1.685;19.202,6.799,0.475;8.469,9.503,1.771;19.579,19.541,0.318;3.336,1.556,1.218;18.524,12.860,0.839;8.031,7.922,1.166;18.647,13.854,0.899;3.819,19.629,0.426;4.314,2.217,0.350;11.276,14.071,0.639;19.226,12.888,1.242;16.597,10.264,0.240;17.128,2.518,0.605;3.652,17.834,0.317;15.268,14.433,0.989;3.451,13.868,0.702;2.321,0.656,0.816;8.448,17.354,0.311;19.229,3.221,0.941;2.933,4.413,0.455;15.432,1.833,0.446;12.117,18.095,1.203;17.126,10.158,0.317;10.237,10.310,0.310;15.329,1.633,0.816;10.579,15.326,0.249;2.349,7.890,0.251;9.440,1.183,0.263;18.002,1.024,1.743;7.071,1.128,0.785;1.039,6.255,1.298;12.427,17.058,2.052;14.763,13.141,0.455;7.377,9.155,1.276;5.111,0.770,0.350;8.830,2.031,1.138;18.790,11.598,2.079;12.788,14.100,0.468;1.365,4.369,0.473;5.823,9.258,1.186;1.068,4.799,1.381;1.453,0.779,1.323;3.533,15.761,0.469;19.752,15.201,0.233;12.864,13.482,1.208;14.860,0.886,0.220;4.309,2.004,0.472;11.822,2.419,0.254;1.698,6.978,0.469;19.212,8.041,0.837;15.018,14.689,0.728;10.127,13.829,0.882"
1,drone_1,7.6923,12.9184,17.0000,17.0000,"18.079,14.701,0.206;8.797,8.234,1.358;19.157,11.189,1.320;11.041,9.798,0.375;18.941,2.103,0.237;18.894,9.851,0.491;18.175,14.247,0.269;2.005,2.762,1.767;8.619,14.844,0.312;1.921,9.625,0.434;6.600,0.346,0.407;4.276,13.031,0.424;5.694,2.362,0.309;16.612,12.207,1.574;13.725,13.157,0.478;16.794,0.426,0.294;7.410,3.214,1.381;3.847,1.134,0.766;14.145,16.944,0.627;1.250,19.625,0.358;12.089,14.342,0.401;3.015,1.738,1.378;17.939,8.495,0.459;14.418,13.948,0.852;12.391,19.075,0.202;15.916,1.890,0.642;11.075,14.920,0.603;4.052,2.483,0.399;2.332,5.537,0.813;13.398,18.053,0.764;10.480,9.022,0.453;1.443,8.842,1.342;0.536,9.612,0.340;13.770,16.445,0.225;1.280,0.427,0.471;8.483,2.322,1.166;16.193,2.805,0.285;6.653,15.765,0.353;2.916,12.308,0.252;0.995,12.662,1.685;19.202,6.799,0.475;8.469,9.503,1.771;19.579,19.541,0.318;3.336,1.556,1.218;18.524,12.860,0.839;8.031,7.922,1.166;18.647,13.854,0.899;3.819,19.629,0.426;4.314,2.217,0.350;11.276,14.071,0.639;19.226,12.888,1.242;16.597,10.264,0.240;17.128,2.518,0.605;3.652,17.834,0.317;15.268,14.433,0.989;3.451,13.868,0.702;2.321,0.656,0.816;8.448,17.354,0.311;19.229,3.221,0.941;2.933,4.413,0.455;15.432,1.833,0.446;12.117,18.095,1.203;17.126,10.158,0.317;10.237,10.310,0.310;15.329,1.633,0.816;10.579,15.326,0.249;2.349,7.890,0.251;9.440,1.183,0.263;18.002,1.024,1.743;7.071,1.128,0.785;1.039,6.255,1.298;12.427,17.058,2.052;14.763,13.141,0.455;7.377,9.155,1.276;5.111,0.770,0.350;8.830,2.031,1.138;18.790,11.598,2.079;12.788,14.100,0.468;1.365,4.369,0.473;5.823,9.258,1.186;1.068,4.799,1.381;1.453,0.779,1.323;3.533,15.761,0.469;19.752,15.201,0.233;12.864,13.482,1.208;14.860,0.886,0.220;4.309,2.004,0.472;11.822,2.419,0.254;1.698,6.978,0.469;19.212,8.041,0.837;15.018,14.689,0.728;10.127,13.829,0.882"
1,drone_2,5.1712,6.3980,17.0000,17.0000,"18.079,14.701,0.206;8.797,8.234,1.358;19.157,11.189,1.320;11.041,9.798,0.375;18.941,2.103,0.237;18.894,9.851,0.491;18.175,14.247,0.269;2.005,2.762,1.767;8.619,14.844,0.312;1.921,9.625,0.434;6.600,0.346,0.407;4.276,13.031,0.424;5.694,2.362,0.309;16.612,12.207,1.574;13.725,13.157,0.478;16.794,0.426,0.294;7.410,3.214,1.381;3.847,1.134,0.766;14.145,16.944,0.627;1.250,19.625,0.358;12.089,14.342,0.401;3.015,1.738,1.378;17.939,8.495,0.459;14.418,13.948,0.852;12.391,19.075,0.202;15.916,1.890,0.642;11.075,14.920,0.603;4.052,2.483,0.399;2.332,5.537,0.813;13.398,18.053,0.764;10.480,9.022,0.453;1.443,8.842,1.342;0.536,9.612,0.340;13.770,16.445,0.225;1.280,0.427,0.471;8.483,2.322,1.166;16.193,2.805,0.285;6.653,15.765,0.353;2.916,12.308,0.252;0.995,12.662,1.685;19.202,6.799,0.475;8.469,9.503,1.771;19.579,19.541,0.318;3.336,1.556,1.218;18.524,12.860,0.839;8.031,7.922,1.166;18.647,13.854,0.899;3.819,19.629,0.426;4.314,2.217,0.350;11.276,14.071,0.639;19.226,12.888,1.242;16.597,10.264,0.240;17.128,2.518,0.605;3.652,17.834,0.317;15.268,14.433,0.989;3.451,13.868,0.702;2.321,0.656,0.816;8.448,17.354,0.311;19.229,3.221,0.941;2.933,4.413,0.455;15.432,1.833,0.446;12.117,18.095,1.203;17.126,10.158,0.317;10.237,10.310,0.310;15.329,1.633,0.816;10.579,15.326,0.249;2.349,7.890,0.251;9.440,1.183,0.263;18.002,1.024,1.743;7.071,1.128,0.785;1.039,6.255,1.298;12.427,17.058,2.052;14.763,13.141,0.455;7.377,9.155,1.276;5.111,0.770,0.350;8.830,2.031,1.138;18.790,11.598,2.079;12.788,14.100,0.468;1.365,4.369,0.473;5.823,9.258,1.186;1.068,4.799,1.381;1.453,0.779,1.323;3.533,15.761,0.469;19.752,15.201,0.233;12.864,13.482,1.208;14.860,0.886,0.220;4.309,2.004,0.472;11.822,2.419,0.254;1.698,6.978,0.469;19.212,8.041,0.837;15.018,14.689,0.728;10.127,13.829,0.882"
1,drone_3,14.9884,6.5605,17.0000,17.0000,"18.079,14.701,0.206;8.797,8.234,1.358;19.157,11.189,1.320;11.041,9.798,0.375;18.941,2.103,0.237;18.894,9.851,0.491;18.175,14.247,0.269;2.005,2.762,1.767;8.619,14.844,0.312;1.921,9.625,0.434;6.600,0.346,0.407;4.276,13.031,0.424;5.694,2.362,0.309;16.612,12.207,1.574;13.725,13.157,0.478;16.794,0.426,0.294;7.410,3.214,1.381;3.847,1.134,0.766;14.145,16.944,0.627;1.250,19.625,0.358;12.089,14.342,0.401;3.015,1.738,1.378;17.939,8.495,0.459;14.418,13.948,0.852;12.391,19.075,0.202;15.916,1.890,0.642;11.075,14.920,0.603;4.052,2.483,0.399;2.332,5.537,0.813;13.398,18.053,0.764;10.480,9.022,0.453;1.443,8.842,1.342;0.536,9.612,0.340;13.770,16.445,0.225;1.280,0.427,0.471;8.483,2.322,1.166;16.193,2.805,0.285;6.653,15.765,0.353;2.916,12.308,0.252;0.995,12.662,1.685;19.202,6.799,0.475;8.469,9.503,1.771;19.579,19.541,0.318;3.336,1.556,1.218;18.524,12.860,0.839;8.031,7.922,1.166;18.647,13.854,0.899;3.819,19.629,0.426;4.314,2.217,0.350;11.276,14.071,0.639;19.226,12.888,1.242;16.597,10.264,0.240;17.128,2.518,0.605;3.652,17.834,0.317;15.268,14.433,0.989;3.451,13.868,0.702;2.321,0.656,0.816;8.448,17.354,0.311;19.229,3.221,0.941;2.933,4.413,0.455;15.432,1.833,0.446;12.117,18.095,1.203;17.126,10.158,0.317;10.237,10.310,0.310;15.329,1.633,0.816;10.579,15.326,0.249;2.349,7.890,0.251;9.440,1.183,0.263;18.002,1.024,1.743;7.071,1.128,0.785;1.039,6.255,1.298;12.427,17.058,2.052;14.763,13.141,0.455;7.377,9.155,1.276;5.111,0.770,0.350;8.830,2.031,1.138;18.790,11.598,2.079;12.788,14.100,0.468;1.365,4.369,0.473;5.823,9.258,1.186;1.068,4.799,1.381;1.453,0.779,1.323;3.533,15.761,0.469;19.752,15.201,0.233;12.864,13.482,1.208;14.860,0.886,0.220;4.309,2.004,0.472;11.822,2.419,0.254;1.698,6.978,0.469;19.212,8.041,0.837;15.018,14.689,0.728;10.127,13.829,0.882"
1,drone_4,6.1856,18.1946,17.0000,17.0000,"18.079,14.701,0.206;8.797,8.234,1.358;19.157,11.189,1.320;11.041,9.798,0.375;18.941,2.103,0.237;18.894,9.851,0.491;18.175,14.247,0.269;2.005,2.762,1.767;8.619,14.844,0.312;1.921,9.625,0.434;6.600,0.346,0.407;4.276,13.031,0.424;5.694,2.362,0.309;16.612,12.207,1.574;13.725,13.157,0.478;16.794,0.426,0.294;7.410,3.214,1.381;3.847,1.134,0.766;14.145,16.944,0.627;1.250,19.625,0.358;12.089,14.342,0.401;3.015,1.738,1.378;17.939,8.495,0.459;14.418,13.948,0.852;12.391,19.075,0.202;15.916,1.890,0.642;11.075,14.920,0.603;4.052,2.483,0.399;2.332,5.537,0.813;13.398,18.053,0.764;10.480,9.022,0.453;1.443,8.842,1.342;0.536,9.612,0.340;13.770,16.445,0.225;1.280,0.427,0.471;8.483,2.322,1.166;16.193,2.805,0.285;6.653,15.765,0.353;2.916,12.308,0.252;0.995,12.662,1.685;19.202,6.799,0.475;8.469,9.503,1.771;19.579,19.541,0.318;3.336,1.556,1.218;18.524,12.860,0.839;8.031,7.922,1.166;18.647,13.854,0.899;3.819,19.629,0.426;4.314,2.217,0.350;11.276,14.071,0.639;19.226,12.888,1.242;16.597,10.264,0.240;17.128,2.518,0.605;3.652,17.834,0.317;15.268,14.433,0.989;3.451,13.868,0.702;2.321,0.656,0.816;8.448,17.354,0.311;19.229,3.221,0.941;2.933,4.413,0.455;15.432,1.833,0.446;12.117,18.095,1.203;17.126,10.158,0.317;10.237,10.310,0.310;15.329,1.633,0.816;10.579,15.326,0.249;2.349,7.890,0.251;9.440,1.183,0.263;18.002,1.024,1.743;7.071,1.128,0.785;1.039,6.255,1.298;12.427,17.058,2.052;14.763,13.141,0.455;7.377,9.155,1.276;5.111,0.770,0.350;8.830,2.031,1.138;18.790,11.598,2.079;12.788,14.100,0.468;1.365,4.369,0.473;5.823,9.258,1.186;1.068,4.799,1.381;1.453,0.779,1.323;3.533,15.761,0.469;19.752,15.201,0.233;12.864,13.482,1.208;14.860,0.886,0.220;4.309,2.004,0.472;11.822,2.419,0.254;1.698,6.978,0.469;19.212,8.041,0.837;15.018,14.689,0.728;10.127,13.829,0.882"
1,drone_5,13.1755,9.2689,17.0000,17.0000,"18.079,14.701,0.206;8.797,8.234,1.358;19.157,11.189,1.320;11.041,9.798,0.375;18.941,2.103,0.237;18.894,9.851,0.491;18.175,14.247,0.269;2.005,2.762,1.767;8.619,14.844,0.312;1.921,9.625,0.434;6.600,0.346,0.407;4.276,13.031,0.424;5.694,2.362,0.309;16.612,12.207,1.574;13.725,13.157,0.478;16.794,0.426,0.294;7.410,3.214,1.381;3.847,1.134,0.766;14.145,16.944,0.627;1.250,19.625,0.358;12.089,14.342,0.401;3.015,1.738,1.378;17.939,8.495,0.459;14.418,13.948,0.852;12.391,19.075,0.202;15.916,1.890,0.642;11.075,14.920,0.603;4.052,2.483,0.399;2.332,5.537,0.813;13.398,18.053,0.764;10.480,9.022,0.453;1.443,8.842,1.342;0.536,9.612,0.340;13.770,16.445,0.225;1.280,0.427,0.471;8.483,2.322,1.166;16.193,2.805,0.285;6.653,15.765,0.353;2.916,12.308,0.252;0.995,12.662,1.685;19.202,6.799,0.475;8.469,9.503,1.771;19.579,19.541,0.318;3.336,1.556,1.218;18.524,12.860,0.839;8.031,7.922,1.166;18.647,13.854,0.899;3.819,19.629,0.426;4.314,2.217,0.350;11.276,14.071,0.639;19.226,12.888,1.242;16.597,10.264,0.240;17.128,2.518,0.605;3.652,17.834,0.317;15.268,14.433,0.989;3.451,13.868,0.702;2.321,0.656,0.816;8.448,17.354,0.311;19.229,3.221,0.941;2.933,4.413,0.455;15.432,1.833,0.446;12.117,18.095,1.203;17.126,10.158,0.317;10.237,10.310,0.310;15.329,1.633,0.816;10.579,15.326,0.249;2.349,7.890,0.251;9.440,1.183,0.263;18.002,1.024,1.743;7.071,1.128,0.785;1.039,6.255,1.298;12.427,17.058,2.052;14.763,13.141,0.455;7.377,9.155,1.276;5.111,0.770,0.350;8.830,2.031,1.138;18.790,11.598,2.079;12.788,14.100,0.468;1.365,4.369,0.473;5.823,9.258,1.186;1.068,4.799,1.381;1.453,0.779,1.323;3.533,15.761,0.469;19.752,15.201,0.233;12.864,13.482,1.208;14.860,0.886,0.220;4.309,2.004,0.472;11.822,2.419,0.254;1.698,6.978,0.469;19.212,8.041,0.837;15.018,14.689,0.728;10.127,13.829,0.882"
1,drone_6,10.4747,4.8990,17.0000,17.0000,"18.079,14.701,0.206;8.797,8.234,1.358;19.157,11.189,1.320;11.041,9.798,0.375;18.941,2.103,0.237;18.894,9.851,0.491;18.175,14.247,0.269;2.005,2.762,1.767;8.619,14.844,0.312;1.921,9.625,0.434;6.600,0.346,0.407;4.276,13.031,0.424;5.694,2.362,0.309;16.612,12.207,1.574;13.725,13.157,0.478;16.794,0.426,0.294;7.410,3.214,1.381;3.847,1.134,0.766;14.145,16.944,0.627;1.250,19.625,0.358;12.089,14.342,0.401;3.015,1.738,1.378;17.939,8.495,0.459;14.418,13.948,0.852;12.391,19.075,0.202;15.916,1.890,0.642;11.075,14.920,0.603;4.052,2.483,0.399;2.332,5.537,0.813;13.398,18.053,0.764;10.480,9.022,0.453;1.443,8.842,1.342;0.536,9.612,0.340;13.770,16.445,0.225;1.280,0.427,0.471;8.483,2.322,1.166;16.193,2.805,0.285;6.653,15.765,0.353;2.916,12.308,0.252;0.995,12.662,1.685;19.202,6.799,0.475;8.469,9.503,1.771;19.579,19.541,0.318;3.336,1.556,1.218;18.524,12.860,0.839;8.031,7.922,1.166;18.647,13.854,0.899;3.819,19.629,0.426;4.314,2.217,0.350;11.276,14.071,0.639;19.226,12.888,1.242;16.597,10.264,0.240;17.128,2.518,0.605;3.652,17.834,0.317;15.268,14.433,0.989;3.451,13.868,0.702;2.321,0.656,0.816;8.448,17.354,0.311;19.229,3.221,0.941;2.933,4.413,0.455;15.432,1.833,0.446;12.117,18.095,1.203;17.126,10.158,0.317;10.237,10.310,0.310;15.329,1.633,0.816;10.579,15.326,0.249;2.349,7.890,0.251;9.440,1.183,0.263;18.002,1.024,1.743;7.071,1.128,0.785;1.039,6.255,1.298;12.427,17.058,2.052;14.763,13.141,0.455;7.377,9.155,1.276;5.111,0.770,0.350;8.830,2.031,1.138;18.790,11.598,2.079;12.788,14.100,0.468;1.365,4.369,0.473;5.823,9.258,1.186;1.068,4.799,1.381;1.453,0.779,1.323;3.533,15.761,0.469;19.752,15.201,0.233;12.864,13.482,1.208;14.860,0.886,0.220;4.309,2.004,0.472;11.822,2.419,0.254;1.698,6.978,0.469;19.212,8.041,0.837;15.018,14.689,0.728;10.127,13.829,0.882"
1,drone_7,11.4622,4.3758,17.0000,17.0000,"18.079,14.701,0.206;8.797,8.234,1.358;19.157,11.189,1.320;11.041,9.798,0.375;18.941,2.103,0.237;18.894,9.851,0.491;18.175,14.247,0.269;2.005,2.762,1.767;8.619,14.844,0.312;1.921,9.625,0.434;6.600,0.346,0.407;4.276,13.031,0.424;5.694,2.362,0.309;16.612,12.207,1.574;13.725,13.157,0.478;16.794,0.426,0.294;7.410,3.214,1.381;3.847,1.134,0.766;14.145,16.944,0.627;1.250,19.625,0.358;12.089,14.342,0.401;3.015,1.738,1.378;17.939,8.495,0.459;14.418,13.948,0.852;12.391,19.075,0.202;15.916,1.890,0.642;11.075,14.920,0.603;4.052,2.483,0.399;2.332,5.537,0.813;13.398,18.053,0.764;10.480,9.022,0.453;1.443,8.842,1.342;0.536,9.612,0.340;13.770,16.445,0.225;1.280,0.427,0.471;8.483,2.322,1.166;16.193,2.805,0.285;6.653,15.765,0.353;2.916,12.308,0.252;0.995,12.662,1.685;19.202,6.799,0.475;8.469,9.503,1.771;19.579,19.541,0.318;3.336,1.556,1.218;18.524,12.860,0.839;8.031,7.922,1.166;18.647,13.854,0.899;3.819,19.629,0.426;4.314,2.217,0.350;11.276,14.071,0.639;19.226,12.888,1.242;16.597,10.264,0.240;17.128,2.518,0.605;3.652,17.834,0.317;15.268,14.433,0.989;3.451,13.868,0.702;2.321,0.656,0.816;8.448,17.354,0.311;19.229,3.221,0.941;2.933,4.413,0.455;15.432,1.833,0.446;12.117,18.095,1.203;17.126,10.158,0.317;10.237,10.310,0.310;15.329,1.633,0.816;10.579,15.326,0.249;2.349,7.890,0.251;9.440,1.183,0.263;18.002,1.024,1.743;7.071,1.128,0.785;1.039,6.255,1.298;12.427,17.058,2.052;14.763,13.141,0.455;7.377,9.155,1.276;5.111,0.770,0.350;8.830,2.031,1.138;18.790,11.598,2.079;12.788,14.100,0.468;1.365,4.369,0.473;5.823,9.258,1.186;1.068,4.799,1.381;1.453,0.779,1.323;3.533,15.761,0.469;19.752,15.201,0.233;12.864,13.482,1.208;14.860,0.886,0.220;4.309,2.004,0.472;11.822,2.419,0.254;1.698,6.978,0.469;19.212,8.041,0.837;15.018,14.689,0.728;10.127,13.829,0.882"
1,drone_8,16.2574,4.9757,17.0000,17.0000,"18.079,14.701,0.206;8.797,8.234,1.358;19.157,11.189,1.320;11.041,9.798,0.375;18.941,2.103,0.237;18.894,9.851,0.491;18.175,14.247,0.269;2.005,2.762,1.767;8.619,14.844,0.312;1.921,9.625,0.434;6.600,0.346,0.407;4.276,13.031,0.424;5.694,2.362,0.309;16.612,12.207,1.574;13.725,13.157,0.478;16.794,0.426,0.294;7.410,3.214,1.381;3.847,1.134,0.766;14.145,16.944,0.627;1.250,19.625,0.358;12.089,14.342,0.401;3.015,1.738,1.378;17.939,8.495,0.459;14.418,13.948,0.852;12.391,19.075,0.202;15.916,1.890,0.642;11.075,14.920,0.603;4.052,2.483,0.399;2.332,5.537,0.813;13.398,18.053,0.764;10.480,9.022,0.453;1.443,8.842,1.342;0.536,9.612,0.340;13.770,16.445,0.225;1.280,0.427,0.471;8.483,2.322,1.166;16.193,2.805,0.285;6.653,15.765,0.353;2.916,12.308,0.252;0.995,12.662,1.685;19.202,6.799,0.475;8.469,9.503,1.771;19.579,19.541,0.318;3.336,1.556,1.218;18.524,12.860,0.839;8.031,7.922,1.166;18.647,13.854,0.899;3.819,19.629,0.426;4.314,2.217,0.350;11.276,14.071,0.639;19.226,12.888,1.242;16.597,10.264,0.240;17.128,2.518,0.605;3.652,17.834,0.317;15.268,14.433,0.989;3.451,13.868,0.702;2.321,0.656,0.816;8.448,17.354,0.311;19.229,3.221,0.941;2.933,4.413,0.455;15.432,1.833,0.446;12.117,18.095,1.203;17.126,10.158,0.317;10.237,10.310,0.310;15.329,1.633,0.816;10.579,15.326,0.249;2.349,7.890,0.251;9.440,1.183,0.263;18.002,1.024,1.743;7.071,1.128,0.785;1.039,6.255,1.298;12.427,17.058,2.052;14.763,13.141,0.455;7.377,9.155,1.276;5.111,0.770,0.350;8.830,2.031,1.138;18.790,11.598,2.079;12.788,14.100,0.468;1.365,4.369,0.473;5.823,9.258,1.186;1.068,4.799,1.381;1.453,0.779,1.323;3.533,15.761,0.469;19.752,15.201,0.233;12.864,13.482,1.208;14.860,0.886,0.220;4.309,2.004,0.472;11.822,2.419,0.254;1.698,6.978,0.469;19.212,8.041,0.837;15.018,14.689,0.728;10.127,13.829,0.882"
1,drone_9,17.3442,5.1043,17.0000,17.0000,"18.079,14.701,0.206;8.797,8.234,1.358;19.157,11.189,1.320;11.041,9.798,0.375;18.941,2.103,0.237;18.894,9.851,0.491;18.175,14.247,0.269;2.005,2.762,1.767;8.619,14.844,0.312;1.921,9.625,0.434;6.600,0.346,0.407;4.276,13.031,0.424;5.694,2.362,0.309;16.612,12.207,1.574;13.725,13.157,0.478;16.794,0.426,0.294;7.410,3.214,1.381;3.847,1.134,0.766;14.145,16.944,0.627;1.250,19.625,0.358;12.089,14.342,0.401;3.015,1.738,1.378;17.939,8.495,0.459;14.418,13.948,0.852;12.391,19.075,0.202;15.916,1.890,0.642;11.075,14.920,0.603;4.052,2.483,0.399;2.332,5.537,0.813;13.398,18.053,0.764;10.480,9.022,0.453;1.443,8.842,1.342;0.536,9.612,0.340;13.770,16.445,0.225;1.280,0.427,0.471;8.483,2.322,1.166;16.193,2.805,0.285;6.653,15.765,0.353;2.916,12.308,0.252;0.995,12.662,1.685;19.202,6.799,0.475;8.469,9.503,1.771;19.579,19.541,0.318;3.336,1.556,1.218;18.524,12.860,0.839;8.031,7.922,1.166;18.647,13.854,0.899;3.819,19.629,0.426;4.314,2.217,0.350;11.276,14.071,0.639;19.226,12.888,1.242;16.597,10.264,0.240;17.128,2.518,0.605;3.652,17.834,0.317;15.268,14.433,0.989;3.451,13.868,0.702;2.321,0.656,0.816;8.448,17.354,0.311;19.229,3.221,0.941;2.933,4.413,0.455;15.432,1.833,0.446;12.117,18.095,1.203;17.126,10.158,0.317;10.237,10.310,0.310;15.329,1.633,0.816;10.579,15.326,0.249;2.349,7.890,0.251;9.440,1.183,0.263;18.002,1.024,1.743;7.071,1.128,0.785;1.039,6.255,1.298;12.427,17.058,2.052;14.763,13.141,0.455;7.377,9.155,1.276;5.111,0.770,0.350;8.830,2.031,1.138;18.790,11.598,2.079;12.788,14.100,0.468;1.365,4.369,0.473;5.823,9.258,1.186;1.068,4.799,1.381;1.453,0.779,1.323;3.533,15.761,0.469;19.752,15.201,0.233;12.864,13.482,1.208;14.860,0.886,0.220;4.309,2.004,0.472;11.822,2.419,0.254;1.698,6.978,0.469;19.212,8.041,0.837;15.018,14.689,0.728;10.127,13.829,0.882"
2,drone_0,1.5138,16.1548,17.0000,17.0000,"18.079,14.701,0.206;8.797,8.234,1.358;19.157,11.189,1.320;11.041,9.798,0.375;18.941,2.103,0.237;18.894,9.851,0.491;18.175,14.247,0.269;2.005,2.762,1.767;8.619,14.844,0.312;1.921,9.625,0.434;6.600,0.346,0.407;4.276,13.031,0.424;5.694,2.362,0.309;16.612,12.207,1.574;13.725,13.157,0.478;16.794,0.426,0.294;7.410,3.214,1.381;3.847,1.134,0.766;14.145,16.944,0.627;1.250,19.625,0.358;12.089,14.342,0.401;3.015,1.738,1.378;17.939,8.495,0.459;14.418,13.948,0.852;12.391,19.075,0.202;15.916,1.890,0.642;11.075,14.920,0.603;4.052,2.483,0.399;2.332,5.537,0.813;13.398,18.053,0.764;10.480,9.022,0.453;1.443,8.842,1.342;0.536,9.612,0.340;13.770,16.445,0.225;1.280,0.427,0.471;8.483,2.322,1.166;16.193,2.805,0.285;6.653,15.765,0.353;2.916,12.308,0.252;0.995,12.662,1.685;19.202,6.799,0.475;8.469,9.503,1.771;19.579,19.541,0.318;3.336,1.556,1.218;18.524,12.860,0.839;8.031,7.922,1.166;18.647,13.854,0.899;3.819,19.629,0.426;4.314,2.217,0.350;11.276,14.071,0.639;19.226,12.888,1.242;16.597,10.264,0.240;17.128,2.518,0.605;3.652,17.834,0.317;15.268,14.433,0.989;3.451,13.868,0.702;2.321,0.656,0.816;8.448,17.354,0.311;19.229,3.221,0.941;2.933,4.413,0.455;15.432,1.833,0.446;12.117,18.095,1.203;17.126,10.158,0.317;10.237,10.310,0.310;15.329,1.633,0.816;10.579,15.326,0.249;2.349,7.890,0.251;9.440,1.183,0.263;18.002,1.024,1.743;7.071,1.128,0.785;1.039,6.255,1.298;12.427,17.058,2.052;14.763,13.141,0.455;7.377,9.155,1.276;5.111,0.770,0.350;8.830,2.031,1.138;18.790,11.598,2.079;12.788,14.100,0.468;1.365,4.369,0.473;5.823,9.258,1.186;1.068,4.799,1.381;1.453,0.779,1.323;3.533,15.761,0.469;19.752,15.201,0.233;12.864,13.482,1.208;14.860,0.886,0.220;4.309,2.004,0.472;11.822,2.419,0.254;1.698,6.978,0.469;19.212,8.041,0.837;15.018,14.689,0.728;10.127,13.829,0.882"
2,drone_1,7.8773,12.9943,17.0000,17.0000,"18.079,14.701,0.206;8.797,8.234,1.358;19.157,11.189,1.320;11.041,9.798,0.375;18.941,2.103,0.237;18.894,9.851,0.491;18.175,14.247,0.269;2.005,2.762,1.767;8.619,14.844,0.312;1.921,9.625,0.434;6.600,0.346,0.407;4.276,13.031,0.424;5.694,2.362,0.309;16.612,12.207,1.574;13.725,13.157,0.478;16.794,0.426,0.294;7.410,3.214,1.381;3.847,1.134,0.766;14.145,16.944,0.627;1.250,19.625,0.358;12.089,14.342,0.401;3.015,1.738,1.378;17.939,8.495,0.459;14.418,13.948,0.852;12.391,19.075,0.202;15.916,1.890,0.642;11.075,14.920,0.603;4.052,2.483,0.399;2.332,5.537,0.813;13.398,18.053,0.764;10.480,9.022,0.453;1.443,8.842,1.342;0.536,9.612,0.340;13.770,16.445,0.225;1.280,0.427,0.471;8.483,2.322,1.166;16.193,2.805,0.285;6.653,15.765,0.353;2.916,12.308,0.252;0.995,12.662,1.685;19.202,6.799,0.475;8.469,9.503,1.771;19.579,19.541,0.318;3.336,1.556,1.218;18.524,12.860,0.839;8.031,7.922,1.166;18.647,13.854,0.899;3.819,19.629,0.426;4.314,2.217,0.350;11.276,14.071,0.639;19.226,12.888,1.242;16.597,10.264,0.240;17.128,2.518,0.605;3.652,17.834,0.317;15.268,14.433,0.989;3.451,13.868,0.702;2.321,0.656,0.816;8.448,17.354,0.311;19.229,3.221,0.941;2.933,4.413,0.455;15.432,1.833,0.446;12.117,18.095,1.203;17.126,10.158,0.317;10.237,10.310,0.310;15.329,1.633,0.816;10.579,15.326,0.249;2.349,7.890,0.251;9.440,1.183,0.263;18.002,1.024,1.743;7.071,1.128,0.785;1.039,6.255,1.298;12.427,17.058,2.052;14.763,13.141,0.455;7.377,9.155,1.276;5.111,0.770,0.350;8.830,2.031,1.138;18.790,11.598,2.079;12.788,14.100,0.468;1.365,4.369,0.473;5.823,9.258,1.186;1.068,4.799,1.381;1.453,0.779,1.323;3.533,15.761,0.469;19.752,15.201,0.233;12.864,13.482,1.208;14.860,0.886,0.220;4.309,2.004,0.472;11.822,2.419,0.254;1.698,6.978,0.469;19.212,8.041,0.837;15.018,14.689,0.728;10.127,13.829,0.882"
