Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
1,drone_0,3.8795,1.3714,17.0000,17.0000,"18.617,8.350,0.227;2.532,16.376,0.212;6.222,16.934,0.395;1.911,15.901,0.886;10.505,11.128,0.692;2.928,7.924,0.488;8.235,17.328,2.321;12.826,14.988,1.376;16.524,7.674,0.640;8.639,1.836,1.100;2.792,7.094,0.340;11.246,8.637,1.796;6.686,1.548,0.383;8.963,0.748,0.235;1.459,10.150,0.798;2.220,8.617,0.446;6.443,0.416,0.265;10.254,12.790,0.618;4.405,6.827,0.471;4.770,11.410,0.264;13.038,6.716,0.373;9.854,11.155,0.710;3.971,6.521,1.083;13.934,1.100,0.341;10.511,10.296,2.148;12.121,4.499,0.267;18.658,7.470,0.837;16.364,13.379,0.446;12.499,14.579,1.181;1.001,16.920,0.249;0.289,19.756,0.255;11.451,13.317,1.040;17.156,19.690,0.296;13.350,18.876,0.316;3.728,5.583,0.425;1.077,16.256,0.285;0.457,8.999,0.629;10.021,17.656,1.065;8.485,17.858,2.465;15.119,14.647,0.896;5.925,1.118,0.405;12.243,17.097,1.315;1.699,7.436,1.090;11.985,12.268,0.235;13.551,1.593,0.471;17.159,7.160,0.686;8.773,19.104,1.659;17.881,9.463,0.662;12.592,6.470,0.432;6.830,9.519,0.379;13.767,14.575,0.735;14.323,17.610,0.201;7.143,8.124,1.151;2.920,7.409,0.306;13.058,6.222,0.868;1.278,6.531,1.042;14.522,8.299,0.454;1.849,9.218,0.429;19.182,11.015,1.107;3.101,10.811,1.026;7.297,19.103,1.396;6.337,18.962,0.730;0.332,16.945,0.646;15.286,19.706,0.403;1.615,11.483,0.860;2.275,11.536,1.014;4.375,15.048,0.683;3.655,6.675,1.110;14.388,12.838,0.460;19.739,7.700,0.464;0.745,7.434,0.344;18.542,11.313,2.207;13.459,10.983,2.145;7.907,9.391,1.793;18.451,13.665,0.772;12.816,13.230,0.353;14.496,7.622,1.221"
1,drone_1,6.3492,12.8846,17.0000,17.0000,"18.617,8.350,0.227;2.532,16.376,0.212;6.222,16.934,0.395;1.911,15.901,0.886;10.505,11.128,0.692;2.928,7.924,0.488;8.235,17.328,2.321;12.826,14.988,1.376;16.524,7.674,0.640;8.639,1.836,1.100;2.792,7.094,0.340;11.246,8.637,1.796;6.686,1.548,0.383;8.963,0.748,0.235;1.459,10.150,0.798;2.220,8.617,0.446;6.443,0.416,0.265;10.254,12.790,0.618;4.405,6.827,0.471;4.770,11.410,0.264;13.038,6.716,0.373;9.854,11.155,0.710;3.971,6.521,1.083;13.934,1.100,0.341;10.511,10.296,2.148;12.121,4.499,0.267;18.658,7.470,0.837;16.364,13.379,0.446;12.499,14.579,1.181;1.001,16.920,0.249;0.289,19.756,0.255;11.451,13.317,1.040;17.156,19.690,0.296;13.350,18.876,0.316;3.728,5.583,0.425;1.077,16.256,0.285;0.457,8.999,0.629;10.021,17.656,1.065;8.485,17.858,2.465;15.119,14.647,0.896;5.925,1.118,0.405;12.243,17.097,1.315;1.699,7.436,1.090;11.985,12.268,0.235;13.551,1.593,0.471;17.159,7.160,0.686;8.773,19.104,1.659;17.881,9.463,0.662;12.592,6.470,0.432;6.830,9.519,0.379;13.767,14.575,0.735;14.323,17.610,0.201;7.143,8.124,1.151;2.920,7.409,0.306;13.058,6.222,0.868;1.278,6.531,1.042;14.522,8.299,0.454;1.849,9.218,0.429;19.182,11.015,1.107;3.101,10.811,1.026;7.297,19.103,1.396;6.337,18.962,0.730;0.332,16.945,0.646;15.286,19.706,0.403;1.615,11.483,0.860;2.275,11.536,1.014;4.375,15.048,0.683;3.655,6.675,1.110;14.388,12.838,0.460;19.739,7.700,0.464;0.745,7.434,0.344;18.542,11.313,2.207;13.459,10.983,2.145;7.907,9.391,1.793;18.451,13.665,0.772;12.816,13.230,0.353;14.496,7.622,1.221"
1,drone_2,8.9254,4.7822,17.0000,17.0000,"18.617,8.350,0.227;2.532,16.376,0.212;6.222,16.934,0.395;1.911,15.901,0.886;10.505,11.128,0.692;2.928,7.924,0.488;8.235,17.328,2.321;12.826,14.988,1.376;16.524,7.674,0.640;8.639,1.836,1.100;2.792,7.094,0.340;11.246,8.637,1.796;6.686,1.548,0.383;8.963,0.748,0.235;1.459,10.150,0.798;2.220,8.617,0.446;6.443,0.416,0.265;10.254,12.790,0.618;4.405,6.827,0.471;4.770,11.410,0.264;13.038,6.716,0.373;9.854,11.155,0.710;3.971,6.521,1.083;13.934,1.100,0.341;10.511,10.296,2.148;12.121,4.499,0.267;18.658,7.470,0.837;16.364,13.379,0.446;12.499,14.579,1.181;1.001,16.920,0.249;0.289,19.756,0.255;11.451,13.317,1.040;17.156,19.690,0.296;13.350,18.876,0.316;3.728,5.583,0.425;1.077,16.256,0.285;0.457,8.999,0.629;10.021,17.656,1.065;8.485,17.858,2.465;15.119,14.647,0.896;5.925,1.118,0.405;12.243,17.097,1.315;1.699,7.436,1.090;11.985,12.268,0.235;13.551,1.593,0.471;17.159,7.160,0.686;8.773,19.104,1.659;17.881,9.463,0.662;12.592,6.470,0.432;6.830,9.519,0.379;13.767,14.575,0.735;14.323,17.610,0.201;7.143,8.124,1.151;2.920,7.409,0.306;13.058,6.222,0.868;1.278,6.531,1.042;14.522,8.299,0.454;1.849,9.218,0.429;19.182,11.015,1.107;3.101,10.811,1.026;7.297,19.103,1.396;6.337,18.962,0.730;0.332,16.945,0.646;15.286,19.706,0.403;1.615,11.483,0.860;2.275,11.536,1.014;4.375,15.048,0.683;3.655,6.675,1.110;14.388,12.838,0.460;19.739,7.700,0.464;0.745,7.434,0.344;18.542,11.313,2.207;13.459,10.983,2.145;7.907,9.391,1.793;18.451,13.665,0.772;12.816,13.230,0.353;14.496,7.622,1.221"
1,drone_3,5.7326,4.4242,17.0000,17.0000,"18.617,8.350,0.227;2.532,16.376,0.212;6.222,16.934,0.395;1.911,15.901,0.886;10.505,11.128,0.692;2.928,7.924,0.488;8.235,17.328,2.321;12.826,14.988,1.376;16.524,7.674,0.640;8.639,1.836,1.100;2.792,7.094,0.340;11.246,8.637,1.796;6.686,1.548,0.383;8.963,0.748,0.235;1.459,10.150,0.798;2.220,8.617,0.446;6.443,0.416,0.265;10.254,12.790,0.618;4.405,6.827,0.471;4.770,11.410,0.264;13.038,6.716,0.373;9.854,11.155,0.710;3.971,6.521,1.083;13.934,1.100,0.341;10.511,10.296,2.148;12.121,4.499,0.267;18.658,7.470,0.837;16.364,13.379,0.446;12.499,14.579,1.181;1.001,16.920,0.249;0.289,19.756,0.255;11.451,13.317,1.040;17.156,19.690,0.296;13.350,18.876,0.316;3.728,5.583,0.425;1.077,16.256,0.285;0.457,8.999,0.629;10.021,17.656,1.065;8.485,17.858,2.465;15.119,14.647,0.896;5.925,1.118,0.405;12.243,17.097,1.315;1.699,7.436,1.090;11.985,12.268,0.235;13.551,1.593,0.471;17.159,7.160,0.686;8.773,19.104,1.659;17.881,9.463,0.662;12.592,6.470,0.432;6.830,9.519,0.379;13.767,14.575,0.735;14.323,17.610,0.201;7.143,8.124,1.151;2.920,7.409,0.306;13.058,6.222,0.868;1.278,6.531,1.042;14.522,8.299,0.454;1.849,9.218,0.429;19.182,11.015,1.107;3.101,10.811,1.026;7.297,19.103,1.396;6.337,18.962,0.730;0.332,16.945,0.646;15.286,19.706,0.403;1.615,11.483,0.860;2.275,11.536,1.014;4.375,15.048,0.683;3.655,6.675,1.110;14.388,12.838,0.460;19.739,7.700,0.464;0.745,7.434,0.344;18.542,11.313,2.207;13.459,10.983,2.145;7.907,9.391,1.793;18.451,13.665,0.772;12.816,13.230,0.353;14.496,7.622,1.221"
1,drone_4,3.9394,17.8861,17.0000,17.0000,"18.617,8.350,0.227;2.532,16.376,0.212;6.222,16.934,0.395;1.911,15.901,0.886;10.505,11.128,0.692;2.928,7.924,0.488;8.235,17.328,2.321;12.826,14.988,1.376;16.524,7.674,0.640;8.639,1.836,1.100;2.792,7.094,0.340;11.246,8.637,1.796;6.686,1.548,0.383;8.963,0.748,0.235;1.459,10.150,0.798;2.220,8.617,0.446;6.443,0.416,0.265;10.254,12.790,0.618;4.405,6.827,0.471;4.770,11.410,0.264;13.038,6.716,0.373;9.854,11.155,0.710;3.971,6.521,1.083;13.934,1.100,0.341;10.511,10.296,2.148;12.121,4.499,0.267;18.658,7.470,0.837;16.364,13.379,0.446;12.499,14.579,1.181;1.001,16.920,0.249;0.289,19.756,0.255;11.451,13.317,1.040;17.156,19.690,0.296;13.350,18.876,0.316;3.728,5.583,0.425;1.077,16.256,0.285;0.457,8.999,0.629;10.021,17.656,1.065;8.485,17.858,2.465;15.119,14.647,0.896;5.925,1.118,0.405;12.243,17.097,1.315;1.699,7.436,1.090;11.985,12.268,0.235;13.551,1.593,0.471;17.159,7.160,0.686;8.773,19.104,1.659;17.881,9.463,0.662;12.592,6.470,0.432;6.830,9.519,0.379;13.767,14.575,0.735;14.323,17.610,0.201;7.143,8.124,1.151;2.920,7.409,0.306;13.058,6.222,0.868;1.278,6.531,1.042;14.522,8.299,0.454;1.849,9.218,0.429;19.182,11.015,1.107;3.101,10.811,1.026;7.297,19.103,1.396;6.337,18.962,0.730;0.332,16.945,0.646;15.286,19.706,0.403;1.615,11.483,0.860;2.275,11.536,1.014;4.375,15.048,0.683;3.655,6.675,1.110;14.388,12.838,0.460;19.739,7.700,0.464;0.745,7.434,0.344;18.542,11.313,2.207;13.459,10.983,2.145;7.907,9.391,1.793;18.451,13.665,0.772;12.816,13.230,0.353;14.496,7.622,1.221"
1,drone_5,8.0584,5.3814,17.0000,17.0000,"18.617,8.350,0.227;2.532,16.376,0.212;6.222,16.934,0.395;1.911,15.901,0.886;10.505,11.128,0.692;2.928,7.924,0.488;8.235,17.328,2.321;12.826,14.988,1.376;16.524,7.674,0.640;8.639,1.836,1.100;2.792,7.094,0.340;11.246,8.637,1.796;6.686,1.548,0.383;8.963,0.748,0.235;1.459,10.150,0.798;2.220,8.617,0.446;6.443,0.416,0.265;10.254,12.790,0.618;4.405,6.827,0.471;4.770,11.410,0.264;13.038,6.716,0.373;9.854,11.155,0.710;3.971,6.521,1.083;13.934,1.100,0.341;10.511,10.296,2.148;12.121,4.499,0.267;18.658,7.470,0.837;16.364,13.379,0.446;12.499,14.579,1.181;1.001,16.920,0.249;0.289,19.756,0.255;11.451,13.317,1.040;17.156,19.690,0.296;13.350,18.876,0.316;3.728,5.583,0.425;1.077,16.256,0.285;0.457,8.999,0.629;10.021,17.656,1.065;8.485,17.858,2.465;15.119,14.647,0.896;5.925,1.118,0.405;12.243,17.097,1.315;1.699,7.436,1.090;11.985,12.268,0.235;13.551,1.593,0.471;17.159,7.160,0.686;8.773,19.104,1.659;17.881,9.463,0.662;12.592,6.470,0.432;6.830,9.519,0.379;13.767,14.575,0.735;14.323,17.610,0.201;7.143,8.124,1.151;2.920,7.409,0.306;13.058,6.222,0.868;1.278,6.531,1.042;14.522,8.299,0.454;1.849,9.218,0.429;19.182,11.015,1.107;3.101,10.811,1.026;7.297,19.103,1.396;6.337,18.962,0.730;0.332,16.945,0.646;15.286,19.706,0.403;1.615,11.483,0.860;2.275,11.536,1.014;4.375,15.048,0.683;3.655,6.675,1.110;14.388,12.838,0.460;19.739,7.700,0.464;0.745,7.434,0.344;18.542,11.313,2.207;13.459,10.983,2.145;7.907,9.391,1.793;18.451,13.665,0.772;12.816,13.230,0.353;14.496,7.622,1.221"
1,drone_6,1.8757,2.4061,17.0000,17.0000,"18.617,8.350,0.227;2.532,16.376,0.212;6.222,16.934,0.395;1.911,15.901,0.886;10.505,11.128,0.692;2.928,7.924,0.488;8.235,17.328,2.321;12.826,14.988,1.376;16.524,7.674,0.640;8.639,1.836,1.100;2.792,7.094,0.340;11.246,8.637,1.796;6.686,1.548,0.383;8.963,0.748,0.235;1.459,10.150,0.798;2.220,8.617,0.446;6.443,0.416,0.265;10.254,12.790,0.618;4.405,6.827,0.471;4.770,11.410,0.264;13.038,6.716,0.373;9.854,11.155,0.710;3.971,6.521,1.083;13.934,1.100,0.341;10.511,10.296,2.148;12.121,4.499,0.267;18.658,7.470,0.837;16.364,13.379,0.446;12.499,14.579,1.181;1.001,16.920,0.249;0.289,19.756,0.255;11.451,13.317,1.040;17.156,19.690,0.296;13.350,18.876,0.316;3.728,5.583,0.425;1.077,16.256,0.285;0.457,8.999,0.629;10.021,17.656,1.065;8.485,17.858,2.465;15.119,14.647,0.896;5.925,1.118,0.405;12.243,17.097,1.315;1.699,7.436,1.090;11.985,12.268,0.235;13.551,1.593,0.471;17.159,7.160,0.686;8.773,19.104,1.659;17.881,9.463,0.662;12.592,6.470,0.432;6.830,9.519,0.379;13.767,14.575,0.735;14.323,17.610,0.201;7.143,8.124,1.151;2.920,7.409,0.306;13.058,6.222,0.868;1.278,6.531,1.042;14.522,8.299,0.454;1.849,9.218,0.429;19.182,11.015,1.107;3.101,10.811,1.026;7.297,19.103,1.396;6.337,18.962,0.730;0.332,16.945,0.646;15.286,19.706,0.403;1.615,11.483,0.860;2.275,11.536,1.014;4.375,15.048,0.683;3.655,6.675,1.110;14.388,12.838,0.460;19.739,7.700,0.464;0.745,7.434,0.344;18.542,11.313,2.207;13.459,10.983,2.145;7.907,9.391,1.793;18.451,13.665,0.772;12.816,13.230,0.353;14.496,7.622,1.221"
1,drone_7,18.5005,2.3678,17.0000,17.0000,"18.617,8.350,0.227;2.532,16.376,0.212;6.222,16.934,0.395;1.911,15.901,0.886;10.505,11.128,0.692;2.928,7.924,0.488;8.235,17.328,2.321;12.826,14.988,1.376;16.524,7.674,0.640;8.639,1.836,1.100;2.792,7.094,0.340;11.246,8.637,1.796;6.686,1.548,0.383;8.963,0.748,0.235;1.459,10.150,0.798;2.220,8.617,0.446;6.443,0.416,0.265;10.254,12.790,0.618;4.405,6.827,0.471;4.770,11.410,0.264;13.038,6.716,0.373;9.854,11.155,0.710;3.971,6.521,1.083;13.934,1.100,0.341;10.511,10.296,2.148;12.121,4.499,0.267;18.658,7.470,0.837;16.364,13.379,0.446;12.499,14.579,1.181;1.001,16.920,0.249;0.289,19.756,0.255;11.451,13.317,1.040;17.156,19.690,0.296;13.350,18.876,0.316;3.728,5.583,0.425;1.077,16.256,0.285;0.457,8.999,0.629;10.021,17.656,1.065;8.485,17.858,2.465;15.119,14.647,0.896;5.925,1.118,0.405;12.243,17.097,1.315;1.699,7.436,1.090;11.985,12.268,0.235;13.551,1.593,0.471;17.159,7.160,0.686;8.773,19.104,1.659;17.881,9.463,0.662;12.592,6.470,0.432;6.830,9.519,0.379;13.767,14.575,0.735;14.323,17.610,0.201;7.143,8.124,1.151;2.920,7.409,0.306;13.058,6.222,0.868;1.278,6.531,1.042;14.522,8.299,0.454;1.849,9.218,0.429;19.182,11.015,1.107;3.101,10.811,1.026;7.297,19.103,1.396;6.337,18.962,0.730;0.332,16.945,0.646;15.286,19.706,0.403;1.615,11.483,0.860;2.275,11.536,1.014;4.375,15.048,0.683;3.655,6.675,1.110;14.388,12.838,0.460;19.739,7.700,0.464;0.745,7.434,0.344;18.542,11.313,2.207;13.459,10.983,2.145;7.907,9.391,1.793;18.451,13.665,0.772;12.816,13.230,0.353;14.496,7.622,1.221"
1,drone_8,15.3772,4.3095,17.0000,17.0000,"18.617,8.350,0.227;2.532,16.376,0.212;6.222,16.934,0.395;1.911,15.901,0.886;10.505,11.128,0.692;2.928,7.924,0.488;8.235,17.328,2.321;12.826,14.988,1.376;16.524,7.674,0.640;8.639,1.836,1.100;2.792,7.094,0.340;11.246,8.637,1.796;6.686,1.548,0.383;8.963,0.748,0.235;1.459,10.150,0.798;2.220,8.617,0.446;6.443,0.416,0.265;10.254,12.790,0.618;4.405,6.827,0.471;4.770,11.410,0.264;13.038,6.716,0.373;9.854,11.155,0.710;3.971,6.521,1.083;13.934,1.100,0.341;10.511,10.296,2.148;12.121,4.499,0.267;18.658,7.470,0.837;16.364,13.379,0.446;12.499,14.579,1.181;1.001,16.920,0.249;0.289,19.756,0.255;11.451,13.317,1.040;17.156,19.690,0.296;13.350,18.876,0.316;3.728,5.583,0.425;1.077,16.256,0.285;0.457,8.999,0.629;10.021,17.656,1.065;8.485,17.858,2.465;15.119,14.647,0.896;5.925,1.118,0.405;12.243,17.097,1.315;1.699,7.436,1.090;11.985,12.268,0.235;13.551,1.593,0.471;17.159,7.160,0.686;8.773,19.104,1.659;17.881,9.463,0.662;12.592,6.470,0.432;6.830,9.519,0.379;13.767,14.575,0.735;14.323,17.610,0.201;7.143,8.124,1.151;2.920,7.409,0.306;13.058,6.222,0.868;1.278,6.531,1.042;14.522,8.299,0.454;1.849,9.218,0.429;19.182,11.015,1.107;3.101,10.811,1.026;7.297,19.103,1.396;6.337,18.962,0.730;0.332,16.945,0.646;15.286,19.706,0.403;1.615,11.483,0.860;2.275,11.536,1.014;4.375,15.048,0.683;3.655,6.675,1.110;14.388,12.838,0.460;19.739,7.700,0.464;0.745,7.434,0.344;18.542,11.313,2.207;13.459,10.983,2.145;7.907,9.391,1.793;18.451,13.665,0.772;12.816,13.230,0.353;14.496,7.622,1.221"
1,drone_9,2.2228,3.4685,17.0000,17.0000,"18.617,8.350,0.227;2.532,16.376,0.212;6.222,16.934,0.395;1.911,15.901,0.886;10.505,11.128,0.692;2.928,7.924,0.488;8.235,17.328,2.321;12.826,14.988,1.376;16.524,7.674,0.640;8.639,1.836,1.100;2.792,7.094,0.340;11.246,8.637,1.796;6.686,1.548,0.383;8.963,0.748,0.235;1.459,10.150,0.798;2.220,8.617,0.446;6.443,0.416,0.265;10.254,12.790,0.618;4.405,6.827,0.471;4.770,11.410,0.264;13.038,6.716,0.373;9.854,11.155,0.710;3.971,6.521,1.083;13.934,1.100,0.341;10.511,10.296,2.148;12.121,4.499,0.267;18.658,7.470,0.837;16.364,13.379,0.446;12.499,14.579,1.181;1.001,16.920,0.249;0.289,19.756,0.255;11.451,13.317,1.040;17.156,19.690,0.296;13.350,18.876,0.316;3.728,5.583,0.425;1.077,16.256,0.285;0.457,8.999,0.629;10.021,17.656,1.065;8.485,17.858,2.465;15.119,14.647,0.896;5.925,1.118,0.405;12.243,17.097,1.315;1.699,7.436,1.090;11.985,12.268,0.235;13.551,1.593,0.471;17.159,7.160,0.686;8.773,19.104,1.659;17.881,9.463,0.662;12.592,6.470,0.432;6.830,9.519,0.379;13.767,14.575,0.735;14.323,17.610,0.201;7.143,8.124,1.151;2.920,7.409,0.306;13.058,6.222,0.868;1.278,6.531,1.042;14.522,8.299,0.454;1.849,9.218,0.429;19.182,11.015,1.107;3.101,10.811,1.026;7.297,19.103,1.396;6.337,18.962,0.730;0.332,16.945,0.646;15.286,19.706,0.403;1.615,11.483,0.860;2.275,11.536,1.014;4.375,15.048,0.683;3.655,6.675,1.110;14.388,12.838,0.460;19.739,7.700,0.464;0.745,7.434,0.344;18.542,11.313,2.207;13.459,10.983,2.145;7.907,9.391,1.793;18.451,13.665,0.772;12.816,13.230,0.353;14.496,7.622,1.221"
2,drone_0,3.9826,1.5090,17.0000,17.0000,"18.617,8.350,0.227;2.532,16.376,0.212;6.222,16.934,0.395;1.911,15.901,0.886;10.505,11.128,0.692;2.928,7.924,0.488;8.235,17.328,2.321;12.826,14.988,1.376;16.524,7.674,0.640;8.639,1.836,1.100;2.792,7.094,0.340;11.246,8.637,1.796;6.686,1.548,0.383;8.963,0.748,0.235;1.459,10.150,0.798;2.220,8.617,0.446;6.443,0.416,0.265;10.254,12.790,0.618;4.405,6.827,0.471;4.770,11.410,0.264;13.038,6.716,0.373;9.854,11.155,0.710;3.971,6.521,1.083;13.934,1.100,0.341;10.511,10.296,2.148;12.121,4.499,0.267;18.658,7.470,0.837;16.364,13.379,0.446;12.499,14.579,1.181;1.001,16.920,0.249;0.289,19.756,0.255;11.451,13.317,1.040;17.156,19.690,0.296;13.350,18.876,0.316;3.728,5.583,0.425;1.077,16.256,0.285;0.457,8.999,0.629;10.021,17.656,1.065;8.485,17.858,2.465;15.119,14.647,0.896;5.925,1.118,0.405;12.243,17.097,1.315;1.699,7.436,1.090;11.985,12.268,0.235;13.551,1.593,0.471;17.159,7.160,0.686;8.773,19.104,1.659;17.881,9.463,0.662;12.592,6.470,0.432;6.830,9.519,0.379;13.767,14.575,0.735;14.323,17.610,0.201;7.143,8.124,1.151;2.920,7.409,0.306;13.058,6.222,0.868;1.278,6.531,1.042;14.522,8.299,0.454;1.849,9.218,0.429;19.182,11.015,1.107;3.101,10.811,1.026;7.297,19.103,1.396;6.337,18.962,0.730;0.332,16.945,0.646;15.286,19.706,0.403;1.615,11.483,0.860;2.275,11.536,1.014;4.375,15.048,0.683;3.655,6.675,1.110;14.388,12.838,0.460;19.739,7.700,0.464;0.745,7.434,0.344;18.542,11.313,2.207;13.459,10.983,2.145;7.907,9.391,1.793;18.451,13.665,0.772;12.816,13.230,0.353;14.496,7.622,1.221"
2,drone_1,6.5352,12.8110,17.0000,17.0000,"18.617,8.350,0.227;2.532,16.376,0.212;6.222,16.934,0.395;1.911,15.901,0.886;10.505,11.128,0.692;2.928,7.924,0.488;8.235,17.328,2.321;12.826,14.988,1.376;16.524,7.674,0.640;8.639,1.836,1.100;2.792,7.094,0.340;11.246,8.637,1.796;6.686,1.548,0.383;8.963,0.748,0.235;1.459,10.150,0.798;2.220,8.617,0.446;6.443,0.416,0.265;10.254,12.790,0.618;4.405,6.827,0.471;4.770,11.410,0.264;13.038,6.716,0.373;9.854,11.155,0.710;3.971,6.521,1.083;13.934,1.100,0.341;10.511,10.296,2.148;12.121,4.499,0.267;18.658,7.470,0.837;16.364,13.379,0.446;12.499,14.579,1.181;1.001,16.920,0.249;0.289,19.756,0.255;11.451,13.317,1.040;17.156,19.690,0.296;13.350,18.876,0.316;3.728,5.583,0.425;1.077,16.256,0.285;0.457,8.999,0.629;10.021,17.656,1.065;8.485,17.858,2.465;15.119,14.647,0.896;5.925,1.118,0.405;12.243,17.097,1.315;1.699,7.436,1.090;11.985,12.268,0.235;13.551,1.593,0.471;17.159,7.160,0.686;8.773,19.104,1.659;17.881,9.463,0.662;12.592,6.470,0.432;6.830,9.519,0.379;13.767,14.575,0.735;14.323,17.610,0.201;7.143,8.124,1.151;2.920,7.409,0.306;13.058,6.222,0.868;1.278,6.531,1.042;14.522,8.299,0.454;1.849,9.218,0.429;19.182,11.015,1.107;3.101,10.811,1.026;7.297,19.103,1.396;6.337,18.962,0.730;0.332,16.945,0.646;15.286,19.706,0.403;1.615,11.483,0.860;2.275,11.536,1.014;4.375,15.048,0.683;3.655,6.675,1.110;14.388,12.838,0.460;19.739,7.700,0.464;0.745,7.434,0.344;18.542,11.313,2.207;13.459,10.983,2.145;7.907,9.391,1.793;18.451,13.665,0.772;12.816,13.230,0.353;14.496,7.622,1.221"
2,drone_2,9.1156,4.8441,17.0000,17.0000,"18.617,8.350,0.227;2.532,16.376,0.212;6.222,16.934,0.395;1.911,15.901,0.886;10.505,11.128,0.692;2.928,7.924,0.488;8.235,17.328,2.321;12.826,14.988,1.376;16.524,7.674,0.640;8.639,1.836,1.100;2.792,7.094,0.340;11.246,8.637,1.796;6.686,1.548,0.383;8.963,0.748,0.235;1.459,10.150,0.798;2.220,8.617,0.446;6.443,0.416,0.265;10.254,12.790,0.618;4.405,6.827,0.471;4.770,11.410,0.264;13.038,6.716,0.373;9.854,11.155,0.710;3.971,6.521,1.083;13.934,1.100,0.341;10.511,10.296,2.148;12.121,4.499,0.267;18.658,7.470,0.837;16.364,13.379,0.446;12.499,14.579,1.181;1.001,16.920,0.249;0.289,19.756,0.255;11.451,13.317,1.040;17.156,19.690,0.296;13.350,18.876,0.316;3.728,5.583,0.425;1.077,16.256,0.285;0.457,8.999,0.629;10.021,17.656,1.065;8.485,17.858,2.465;15.119,14.647,0.896;5.925,1.118,0.405;12.243,17.097,1.315;1.699,7.436,1.090;11.985,12.268,0.235;13.551,1.593,0.471;17.159,7.160,0.686;8.773,19.104,1.659;17.881,9.463,0.662;12.592,6.470,0.432;6.830,9.519,0.379;13.767,14.575,0.735;14.323,17.610,0.201;7.143,8.124,1.151;2.920,7.409,0.306;13.058,6.222,0.868;1.278,6.531,1.042;14.522,8.299,0.454;1.849,9.218,0.429;19.182,11.015,1.107;3.101,10.811,1.026;7.297,19.103,1.396;6.337,18.962,0.730;0.332,16.945,0.646;15.286,19.706,0.403;1.615,11.483,0.860;2.275,11.536,1.014;4.375,15.048,0.683;3.655,6.675,1.110;14.388,12.838,0.460;19.739,7.700,0.464;0.745,7.434,0.344;18.542,11.313,2.207;13.459,10.983,2.145;7.907,9.391,1.793;18.451,13.665,0.772;12.816,13.230,0.353;14.496,7.622,1.221"
2,drone_3,5.8732,4.4911,17.0000,17.0000,"18.617,8.350,0.227;2.532,16.376,0.212;6.222,16.934,0.395;1.911,15.901,0.886;10.505,11.128,0.692;2.928,7.924,0.488;8.235,17.328,2.321;12.826,14.988,1.376;16.524,7.674,0.640;8.639,1.836,1.100;2.792,7.094,0.340;11.246,8.637,1.796;6.686,1.548,0.383;8.963,0.748,0.235;1.459,10.150,0.798;2.220,8.617,0.446;6.443,0.416,0.265;10.254,12.790,0.618;4.405,6.827,0.471;4.770,11.410,0.264;13.038,6.716,0.373;9.854,11.155,0.710;3.971,6.521,1.083;13.934,1.100,0.341;10.511,10.296,2.148;12.121,4.499,0.267;18.658,7.470,0.837;16.364,13.379,0.446;12.499,14.579,1.181;1.001,16.920,0.249;0.289,19.756,0.255;11.451,13.317,1.040;17.156,19.690,0.296;13.350,18.876,0.316;3.728,5.583,0.425;1.077,16.256,0.285;0.457,8.999,0.629;10.021,17.656,1.065;8.485,17.858,2.465;15.119,14.647,0.896;5.925,1.118,0.405;12.243,17.097,1.315;1.699,7.436,1.090;11.985,12.268,0.235;13.551,1.593,0.471;17.159,7.160,0.686;8.773,19.104,1.659;17.881,9.463,0.662;12.592,6.470,0.432;6.830,9.519,0.379;13.767,14.575,0.735;14.323,17.610,0.201;7.143,8.124,1.151;2.920,7.409,0.306;13.058,6.222,0.868;1.278,6.531,1.042;14.522,8.299,0.454;1.849,9.218,0.429;19.182,11.015,1.107;3.101,10.811,1.026;7.297,19.103,1.396;6.337,18.962,0.730;0.332,16.945,0.646;15.286,19.706,0.403;1.615,11.483,0.860;2.275,11.536,1.014;4.375,15.048,0.683;3.655,6.675,1.110;14.388,12.838,0.460;19.739,7.700,0.464;0.745,7.434,0.344;18.542,11.313,2.207;13.459,10.983,2.145;7.907,9.391,1.793;18.451,13.665,0.772;12.816,13.230,0.353;14.496,7.622,1.221"
